id,timestamp,company_name,lei,position_percent,latest_position_date
38580,2025-07-26 01:37,MilDef Group AB,9845009F7Q0D56B38270,4.4,2025-07-25
38581,2025-07-26 01:37,Hexatronic Group AB,2138001VSY1B4U9JLM82,13.99,2025-07-25
38582,2025-07-26 01:37,Embracer Group AB,549300RFXXKT652HB549,6.11,2025-07-25
38583,2025-07-28 03:12,Cereno Scientific AB,549300VX8KTMYDS6NM84,0.74,2025-07-25
38584,2025-07-28 03:59,VBG GROUP AB (publ),549300O1V2ZWY6W9GZ14,0.3,2025-07-25
38585,2025-07-28 03:59,Swedencare AB (publ),549300FZT7YIF6SWX789,1.48,2025-07-25
38586,2025-07-28 05:12,Aktiebolaget Volvo,549300HGV012CNC8JD22,1.1,2025-07-25
38587,2025-07-28 09:39,Cereno Scientific AB,549300VX8KTMYDS6NM84,0.77,2025-07-28
38588,2025-07-28 09:39,Alleima AB,529900EBHTYGLA6PGP77,3.29,2025-07-25
38589,2025-07-28 09:39,Intrum AB,549300UNCO2FCUWXX470,4.14,2025-07-25
38590,2025-07-28 09:39,AB Sagax,549300LJX28T6OM8DT95,2.01,2025-07-25
38591,2025-07-28 10:05,Beijer Ref AB (publ),549300PZZEUVH08H4G75,3.5,2025-07-25
38592,2025-07-28 10:36,Boozt AB,549300HOEUKTVLRKQQ57,4.1,2025-07-25
38593,2025-07-28 10:36,Sedana Medical AB (publ),549300FQ3NJRI56LCX32,2.77,2025-07-25
38594,2025-07-28 10:49,Cibus Nordic Real Estate AB (publ),549300PW36MFK96GCR23,3.37,2025-07-25
38595,2025-07-28 10:49,Biovica International AB,549300VADE1VRR555N78,1.59,2025-07-25
38596,2025-07-28 10:49,Gränges AB,5493006UG44TYSIXOB13,0.76,2025-07-25
38597,2025-07-28 10:49,Bravida Holding AB,549300H88IJGPNNL3T61,1.6,2025-07-28
38598,2025-07-28 10:49,Vitec Software Group AB (publ),5493005EB5RV1QHE6H94,6.69,2025-07-24
38599,2025-07-28 10:49,BioGaia AB,549300UBUJOY2L7TT361,0.96,2025-07-25
38600,2025-07-28 10:49,Munters Group AB,549300KYCB37YAVUV523,2.53,2025-07-23
38601,2025-07-28 11:01,Alleima AB,529900EBHTYGLA6PGP77,3.39,2025-07-25
